song_name,artist,lyrics,emotion
Sayap Pelindungmu,TheOvertunes," 

 
Saat kau jatuh
Lukai hati
Di mana pun itu
I'll find you

 
Saat kau lemah
Dan tak berdaya
Lihat diriku
Untukmu

 
Kapan pun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu

 
Saat kau takut
Dan tersesat
Di mana pun itu
I'll find you
You might also like 
Air matamu
Takkan terjatuh
Lihat diriku
Untukmu

 
Kapanpun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu

 
Walau kau tak sanggup
Ku takkan menyerah
'Ku ada untukmu

 
Kapanpun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu",0
Semoga,MALIQ & D'Essentials," 

 
Gayung bersambut karena rayu
Siapa sangka ini jadi serius
Merakit ke hulu perlahan lalu
Siapa sangka hati ikut tersentuh, oh oh

 
Dia, aku sama tahu
Ceritanya sedang di dalam gelora yang seru
Dia, aku sadar rindu
Mengakui senang di dalam gelora yang sama

 
Senandungkan lagu  , cinta melulu  
Mungkin aku benar-benar melayu
Sedikit manis kata, katakan yang tak biasa
Sedikit beri warna yang sedang berbunga, oh oh

 
Dia, aku sama tahu
Ceritanya sedang di dalam gelora yang seru
Dia, aku sadar rindu
Mengakui senang di dalam gelora yang sama
You might also like 
Terlihat dari mata ada berharap, semoga kelak aku dan dia
Lebih dari ceritanya, lebih dari rasa bergelora
Sedikit banyak boleh saja berharap, semoga kelak menjadi nyata
Walau menggeser logika seperti layaknya
Yang sedang jatuh cinta seperti aku, dia

 
Ceritanya kita sedang
Du du du du
Yang seru
Dia, aku sama tahu

 
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia, semoga aku, dia
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga
Semoga aku, dia uu, semoga, semoga",0
Buktikan,Tiara Andini," 

 
Ketika ku, ketika kamu dalam satu
Cinta yang baru saja satu
Kucoba untuk mengenalmu  
Membaca kamu

 
Oh, lamakah kita bertahan?
Setiap tingkahku membuatmu bertanya padaku

 
Apakah kamu benar-benar sayang aku?
Tentu saja, ku benar sayang kamu
Buktikanlah, buktikan, coba buktikan padaku
Hati ini, cinta ini hanya butuh, hanya ingin dirimu
Dirimu selamanya
Buktikanlah, buktikan, coba buktikan kepadaku
Huu-ooh-ooh, yeah

 
Dua minggu telah berlalu, masih saja kutunggu
Dirimu dari dugaanku  , prasangkaan burukku
Benarkah aku? Salahkah aku? Hu-uh, uh, uh-oh
Yang selalu meragukan cintamu
You might also like 
Lamakah kita bertahan?
Setiap tingkahku membuatmu bertanya padaku

 
Apakah kamu benar-benar sayang aku?
Tentu saja, ku benar sayang kamu
Buktikanlah, buktikan, coba buktikan padaku
Hati ini, cinta ini hanya butuh, hanya ingin dirimu, oh
Dirimu selamanya
Buktikanlah, coba buktikan kepadaku

 
Ku akan membuktikan  
Ku akan menyaksikan
Dan hanyalah kepercayaan yang bisa
Membuat   kita bertahan
S'lamanya  , ho-ho
S'lama-lamanya

 
Apakah kamu benar-benar sayang aku?
Tentu saja, ku benar sayang kamu
Buktikanlah, buktikan, buktikanlah
Hati ini, cinta ini hanya butuh, hanya ingin dirimu
Dirimu, ha-ah-ah
Buktikanlah, buktikan, coba buktikan kepadaku
Apakah kamu benar-benar...
Apakah kamu benar-benar...
Apakah kamu benar-benar sayang padaku?
Buktikanlah, buktikan, coba buktikan padaku",1
Dari planet lain,Sal Priadi," 

 
Sepertinya kau memang dari planet yang lain
Dikirim ke Bumi untuk orang-orang sepertiku
Sepertinya kau memang dari planet yang jauh
Dikirim ke Bumi untuk datang menemani aku

 
Yang kalau ditanya apa bentuk cinta aku juga bingung jawabnya
Enggak tahu gimana
Menyimpan banyak tanya tentang cinta, aku bingung carinya di mana
Tanya ke siapa

 
Lalu datang kau yang unik, kau temani aku jalan pelan
Berdampingan, tidak buru-buru, gandeng tangan
Aku pernah kehilangan, ketakutan lalu kau terangkan
Bahwa itulah bagian
Dari cara hidup berpasangan

 
Kau memang dari planet-planet yang lain
Kuyakin
Dikirim ke Bumi
Untuk orang-orang sepertiku
You might also like 
Holy moly
Kau dikirim untuk orang-orang sepertiku",0
Himalaya,MALIQ & D'Essentials," 

 
Coba khayalkan sejenak sepuluh tahun nanti hidupmu
Coba bayangkan sejenak misalkan ada aku
Yang menemani hari demi hari yang tak terhitung
Misalkan itu aku yang terakhir untukmu

 
Untuk itu 'kan kupersembahkan

 
Himalaya bahkan akan aku taklukkan
Tanpa cahaya di kegelapan
Berbalutkan pelita hatimu
Di aku, di aku dan kamu
Pastikan kau melihat aku
Saat kugapai puncak tertinggi
Bersama tujuh warna pelangi

 
Misalkan semua terjadi meski belum terjadi
Sekarang kita renungkan sejenak cara agar semua
Bisa terjadi walau kutahu tak semudah itu
Tapi coba sekali lagi bayangkan aku
You might also like 
Untuk itu kan kupersembahkan

 
Himalaya bahkan akan aku taklukkan
Tanpa cahaya di kegelapan
Berbalutkan pelita hatimu
Di aku, di aku dan kamu
Pastikan kau melihat aku
Saat kugapai puncak tertinggi
Bersama tujuh warna pelangi",0
Kita usahakan rumah itu,Sal Priadi," 

 
Kita usahakan rumah itu
Dari depan akan tampak sederhana
Tapi kebunnya luas, tanamannya mewah, megah
Kita usahakan rumah itu
Dari depan akan tampak sederhana
Tapi dibuat kuat, dirancang muat, lega

 
Urusan perabotan dan wangi-wangian
Kuserahkan pada seleramu yang lebih maju
Tapi tata ruang aku ikut pertimbangkan
Karena kalau nanti kita punya kesibukan

 
Malam tetap kumpul di meja
Panjang ruang makan kita
Berbincang tentang hari yang panjang

 
Kita usahakan rumah itu
Dari depan akan tampak sederhana
Tapi penerangannya dirancang begitu romantis
You might also like 
Urusan perabotan dan wangi-wangian
Kuserahkan pada seleramu yang lebih maju
Tapi tata ruang aku ikut pertimbangkan
Karena kalau nanti kita punya kesibukan

 
Malam tetap kumpul di meja
Panjang ruang makan kita
Berbincang tentang hari yang panjang

 
Boleh kamu keliling dunia dan
Temukan banyak tempat-tempat untuk singgah
Sementara
Kamu boleh namai itu rumah
Selama ada mereka yang kamu cinta
Di dalamnya

 
Kita usahakan rumah itu",1
Tukar Jiwa,Tulus," 

 
Aku kehabisan cara 'tuk jelaskan padamu
Mengapa sulit 'tuk lupakanmu
Aku kehabisan cara 'tuk gambarkan padamu
Kau di mata dan di pandanganku

 
 
Coba satu hari saja kau jadi diriku
 
Kau akan mengerti bagaimana 'ku melihatmu

 
Mengagumimu
Menyayangimu
Dari sudut pandangku
Dari sudut pandangku

 
Aku kehabisan cara 'tuk gambarkan padamu
Kau di mata dan di pandanganku
Seandainya satu hari bertukar jiwa
Kau akan mengerti dan berhenti bertanya-tanya
You might also like 
 
Coba satu hari saja kau jadi diriku
 
Kau akan mengerti bagaimana 'ku melihatmu
 
Coba satu hari saja kau jadi diriku
 
Kau akan mengerti bagaimana 'ku melihatmu

 
Mengagumimu
Menyayangimu
Mengagumimu
Menyayangimu
Dari sudut pandangku
Dari sudut pandangku
Dari sudut pandangku
Dari sudut pandangku",0
Sesaat Kau Hadir,Utha Likumahuwa," 

 
Engkau datang
Ketika aku jatuh, bangun, dan jatuh
Dalam langkah menyusuri kehidupanku yang kelam
Dan hampir-hampirku tak dapat melangkah lagi

 
Dirimu hadir
Bagaikan sinar menerangi jalanku
Kau tunjukkan arah mana yang kini harus kutempuh
Agar diriku tak sesat lagi seperti dulu

 
Bersama bayanganmu kasih
Seakan-akan ku terjaga dari mimpi-mimpi
Dari kehidupan yang semu dan melenakanku
Membuatku terlupa akan segala-galanya
Hari ini di hari ini
Aku mencoba berdiri dan melangkah lagi
Bila esok sinar mentari pagi 'kan bersinar lagi
Aku 'kan menuju cita-cita yang pasti

 
Dirimu hadir
Bagaikan sinar menerangi jalanku
Kau tunjukkan arah mana yang kini harus kutempuh
Agar diriku tak sesat lagi seperti dulu
You might also like 
Bersama bayanganmu kasih
Seakan-akan ku terjaga dari mimpi-mimpi
Dari kehidupan yang semu dan melenakanku
Membuatku terlupa akan segala-galanya
Hari ini di hari ini
Aku mencoba berdiri dan melangkah lagi
Bila esok sinar mentari pagi 'kan bersinar lagi
Aku 'kan menuju cita-cita yang pasti",1
Bahagia,Hivi!," 

 
Tak ingin kupendam rasa bahagia
Kuingin teriakkan cerita cinta
Tentang kita di masa depan
Angan-angan yang tersirat akan hari tua
Namun bibir masih terbungkam
Tapi mohon percayalah kelak akan indah

 
Bahagia rasanya dibuai asmara
Cinta yang ada sejak pertama
Di antara kita
Bahagia harap rasa ini tak sirna
Sampai rambutku nanti beruban
Kau dan aku 'kan tetap bersama

 
Seakan tak mudah untuk bayangkan
Tak ada rasa ragu ataupun resah
Namun cinta bisa tercipta
Jadi mohon percayalah
Kelak akan indah

 
Bahagia rasanya dibuai asmara
Cinta yang ada sejak pertama
Di antara kita  
Bahagia   harap rasa ini tak sirna
Sampai rambutku nanti beruban
Kau dan aku 'kan tetap bersama
You might also like 
Biar waktu yang buktikan
Oh, mimpi kekal cerita cinta
Denganmu bersamaku arungi ruang waktu  
Bersama  
S'lamanya  

 
Bahagia rasanya dibuai asmara
Cinta yang ada sejak pertama
Di antara kita  
Bahagia   harap rasa ini tak sirna
Sampai rambutku nanti beruban
Kau dan aku 'kan tetap bersama

 
 
 
Bahagia   harap rasa ini tak sirna
Sampai rambutku nanti beruban
Kau dan aku 'kan tetap bersama",1
Pertama,Reza Artamevia,"Pertama, kurasakan getaran
Yang kerap goyahkan rasa
Serasa ada sentuhan baru
Sinari hari-hariku
Pertama, dirikupun tergoda
Kilaunya matamu
Runtuhkan angkuhnya dinding hati
Koyakkan batas sepiku....dinginku
Pertama untukku dan tak kulupa
Diriku terjerat cintamu
San aku tak ingin lepas
Larutkan aku dalam nyata
Riak belaimu yang akan
Temani setiamu padaku
Kurasa...sentuhan...getaran...
 
Dalam...peluk...cintaYou might also like",0
Menjadi Milikku,Adera," 
Kau tunjukkan aku yang memangnya
Tak pernah tahu erti sebenarnya cinta
Dari jiwa bukan hanya dari mata
Kau ajar hatiku kasih setulus seikhlasnya
Tak pernah mengalah walau kan terpisah
Sedikit pun tak berubah
Namun takkan menjadi milikku
Cinta bukan tercipta untukku

 
Tolong jagalah dirinya buat diriku
Jangan biar luka lagi hatinya
Yang amat kucinta
Yang milik engkau saja
Biar ku simpan semua kasih dan cinta
Akan ku pendamkan sepanjang nyawa
Hingga tiba masa untuk aku bercinta semula

 
Selamat tinggal, kasih
Aku kan pergi  
Bawa diri  
Yang telah rela  
Dan mengerti
You might also like 
Dan disini saja berakhirnya sebuah kisah
Cinta bertepuk sebelah
Terpaksalah ku terima tentuan-Nya, oh",0
Dia,Vina Panduwinata,"Burung camar, tinggi melayang
Bersahutan, di balik awan
Membawa angan-anganku jauh meniti buih
Lalu hilang larut di lautan

Oh bahagia tiada terperi
Indah nian derap jiwaku
Tak kenal duka derita tak kenal nestapa
Ceria s'lalu menggoda

Tiba-tiba 'ku tertegun lubuk hatiku tersentuh
Perahu kecil terayun nelayan tua di sana
Tiga malam bulan t'lah menghilang
Langit gelap walau tak bermega

Tiba-tiba kusadari lagu burung camar tadi
Hanya kisah sedih nada duka, hati yang terluka
Tiada teman, berbagi derita
Bahkan untuk berbagi cerita

Burung camar, tinggi melayang
Bersahutan dibalik awan
Kini membawa anganku yang tadi melayang
Jatuh dia dekat di kakikuYou might also like",0
Sewindu,Tulus," 

 
Sudah sewindu 'ku di dekatmu
Ada di setiap pagi, di sepanjang harimu
Tak mungkin bila engkau tak tahu
Bila 'ku menyimpan rasa yang kupendam sejak lama
Setiap pagi 'ku menunggu di depan pintu
Siapkan senyum terbaikku agar cerah harimu
Cukup bagiku melihatmu tersenyum manis
Di setiap pagimu, siangmu, malammu

 
Sesaat dia datang, pesona bagai pangeran
Dan beri kau harapan, bualan cinta di masa depan
Dan kau lupakan aku, semua usahaku
Semua pagi kita, semua malam kita

 
Oh, tak akan lagi 'ku menunggumu di depan pintu
Dan tak ada lagi tutur manisku merayumu

 
Setiap pagi 'ku menunggu di depan pintu
Siapkan senyum terbaikku agar cerah harimu
Cukup bagiku melihatmu tersenyum manis
Di setiap pagimu, siangmu, malammu
You might also like 
Sesaat dia datang, pesona bagai pangeran
Dan beri kau harapan, bualan cinta di masa depan
Engkau lupakan aku, semua usahaku
Semua pagi kita, semua malam kita

 
Oh, tak akan lagi 'ku menunggumu di depan pintu
Dan tak ada lagi tutur manisku merayumu
Oh, tak akan lagi 'ku menunggumu di depan pintu
Dan tak ada lagi tutur manisku merayumu

 
Jujur memang sakit di hati
Bila kini nyatanya engkau memilih dia
Takkan lagi ku sebodoh ini
Larut di dalam angan-angan tanpa tujuan

 
Oh, tak akan lagi 'ku menunggumu di depan pintu
Dan tak ada lagi tutur manisku merayumu
Oh, tak akan lagi 'ku menunggumu di depan pintu
Dan tak ada lagi tutur manisku merayumu",1
Berdua Bersama,Jaz," 
Indah ceria
Masa masa berdua bersamamu
Saat itu
Canda tawa
Manis lugu dirimu saat itu
Aku cinta kamu

 
Tak ingin aku berpisah sebentar saja
Kurasakan dunia milik berdua

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

 
Kadang ada
Masalah yang pernah kita hadapi
Hidup ini
Jangan ragu
Kau dan aku pasti bisa lewati
Lewati
You might also like 
Percayalah ku akan selalu bersamamu
Karena itu sebuah janji kepadamu

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

 

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita
Meraih mimpi kita
Berdua berdua meraih mimpi kita",1
Aku Cinta Dia,Chrisye," 

 
Di saat kau berjalan di muka rumahku
Penuh gaya
Tersita pandanganku hingga 'ku terpesona
Siapakah dirimu
Hatipun ingin tahu
Segera

 
Dimanakah rumahmu siapakah namamu
Sebutkanlah
Kuingin berkenalan, terimalah salamku
Gayamu dan wajahmu
Terbawa dalam mimpi
Diriku dimabuk asmara

 
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, aku cinta dia

 
You might also like 
Di saat kau berjalan di muka rumahku
Penuh gaya
Tersita pandanganku hingga 'ku terpesona
Gayamu dan wajahmu
Terbawa dalam mimpi
Diriku dimabuk asmara

 
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, 'ku cinta dia
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, aku cinta dia
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, 'ku cinta dia
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, 'ku cinta dia
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan, tolonglah
Aku cinta, 'ku cinta dia
Hati yang berbunga
Pada pandangan pertama
Oh Tuhan. tolonglah
Aku cinta, aku cinta dia",1
Remaja,Hivi!," 
Kita remaja yang sedang dimabuk asmara
Mengikat janji bersama selamanya
Hati telah terikat, sepasang mata memikat
Melambungkan asmara
Yang selalu meminta
Mengulur senja menanti datang
Sang pemilik hati
Rela menanti sejak terbit mentari
Tak sabar 'tuk berbagi
Segala isi di hati
Ceriakan sanubari dan bercumbu di ujung hari

 
Indahnya kisah-kasih kita di masa remaja
Di bawah rayu senja kita di madu bermanja
Tiada masa-masa yang lebih indah dari masa remaja
Seakan dunia, milik berdua

 
Hati terasa merindu tanpa rasa duka
Berkumandang madu senandung asmara
Kepada yang tercinta
Nada-nada tercipta
Genggam pesona jiwa
Kuserahkan dan kau terima
Kita dua insan
Yang sedang bermadu kasih
Tak peduli apa yang akan terjadi
Yang kuinginkan saat ini
Kau bersamaku disini
You might also like 
Indahnya kisah-kasih kita di masa remaja
Di bawah rayu senja kita di madu bermanja
Tiada masa-masa yang lebih indah dari masa remaja  
Seakan dunia
Seakan dunia
Seakan dunia, milik berdua
Masa remaja
Seakan dunia, milik berdua",1
Tak Ingin Pisah Lagi,Marion Jola," 
Katakanlah bila kau meragu padaku
Genggamlah jemariku, melangkah bersamaku lagi
Lupakanlah saja semua yang t'lah berlalu
Cintaku hari ini bukan cinta yang dulu lagi

 
Sanggupkah kau dan aku memulai kembali
Merangkai hati yang hancur berkeping-keping
Sanggupkah kau berjanji 'tuk tetap disini
Menjaga hatiku bila kembali tak ingin pisah lagi

 
Maaf bila sempat kau kecewa kepadaku
Perih yang kita rasakan kini mendewasakan hati

 
Sanggupkah kau dan aku memulai kembali
Merangkai hati yang hancur berkeping-keping
Sanggupkah kau berjanji 'tuk tetap disini
Menjaga hatiku bila kembali tak ingin pisah lagi

 
Wahai pintu hati
Terbukalah lagi
Dengar kuberjanji
Andai badai datang lagi
Dan apa pun yang terjadi
Tak ingin pisah
You might also like 
Sanggupkah kau dan aku memulai kembali
Merangkai hati yang hancur berkeping-keping
Sanggupkah kau berjanji 'tuk tetap disini
Menjaga hatiku bila kembali tak ingin pisah
Bila kembali tak ingin pisah
Bila kembali tak ingin pisah
Bila kembali tak ingin pisah lagi
Tak ingin pisah lagi",1
Adu Rayu,Yovie Widianto," 
Maukah lagi kau mengulang ragu
Dan sendu yang lama
Dia yang dulu pernah bersamamu
Memahat kecewa

 
Atau kau inginkan yang baru
Sungguh menyayangimu

 
Aku ingin dirimu
Yang menjadi milikku
Bersamaku mulai hari ini
Hilang ruang untuk cinta yang lain

 
Separuh jalan pernah dilewati
Meski ada kecewa
Aku yang dulu tak begitu lagi
Takkan kuulangi

 
Jangan dulu engkau berpaling
Beriku kesempatan
You might also like 
Aku ingin dirimu
Tetap jadi milikku
Bersamaku mulai hari baru
Hilang ruang untuk cinta yang lain

 
Lupakan dia pergi denganku
Lupakanlah ragu denganku
Aku
Aku
Aku

 
Aku ingin dirimu
 
Tetap jadi milikku
 
Bersamaku mulai hari baru
Hilang ruang untuk cinta yang lain
Aku ingin dirimu
 
Yang menjadi milikku
 
Bersamaku mulai hari ini
Hilang ruang untuk cinta yang lain
 
Layak untuk cantikmu
Itu aku",0
Cinta,Chrisye," 

 
Bergetar hatiku
Saat 'ku berkenalan dengannya
Kudengar dia
Menyebutkan nama dirinya

 
Sejak 'ku bertemu
'Ku telah jatuh hati padanya
Di dalam hati telah menjelma cinta
Dan bawalah daku selalu

 
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya

 
Sejak 'ku bertemu
'Ku telah jatuh hati padanya
Di dalam hati telah menjelma cinta
Dan bawalah daku selalu
You might also like 
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya

 
Ooh-ooh-ooh-ooh
Ooh, ooh-ooh-ooh, ooh

 

 
Sejak 'ku bertemu
'Ku telah jatuh hati padanya
Di dalam hati telah menjelma cinta
Dan bawalah daku selalu

 
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya
 
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya

 
Dalam mimpimu
Di langkahmu, serta hidupmu
Genggamlah daku kini juga nanti
Harapan di hatiku
Bawalah diriku selamanya

 
La-la-la-la-la
La-la-la-la
La-la-la-la
La-la-la-la-la
La-la-la-la-la-la",1
Lugu,Celine & Nadya," 
Ku nikmati kebahagiaan ini
Tak mengapa tak ada dirimu
Ada teman-teman yang menemani
Aku sudah tak bodoh lagi

 
Seperti waktu kau bohongi aku
Sampai ku tertipu
Tapi akhirnya ku move on darimu

 
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry, ku sudah lupakan kamu

 
Akhirnya ku bisa lupakan kamu
Kamu yang pernah baperin aku
Cukup cukup sudah tak mau lagi
Aku sudah tak bodoh lagi

 
Seperti waktu kau bohongi aku
Sampai ku tertipu
Tapi akhirnya ku move on darimu
You might also like 
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry ku sudah lupakan kamu

 
Takkan lagi ku tertipu
Oleh bujuk rayumu
Takkan mempan gombalanmu lagi

 
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry ku sudah lupakan kamu
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry ku sudah lupakan kamu
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry ku sudah lupakan kamu
Ku memang masih lugu, hanya tahu kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tau kamu, ku tau aslimu
Sorry sorry ku sudah lupakan kamu
 
Sorry sorry ku sudah move on darimu
Sorry sorry ku sudah lupakan kamu",1
Lagu Lama,More on Mumbles," 
Kembali, datang dan bekali
Bayang imajinasi
Hanya basa-basi
Ragaku menjerit

 
Aku hampir saja
Jerat diriku
Kerap dirindu

 
  Denganmu rasanya semu
  Tanpamu perlahan kutemukan
Jalanku sendiri
Aku hampir saja  
Jatuh di lubang itu lagi

 
""Cantik, kau selalu menarik
Dan masih saja pintar melucu""
Oh, hanya kosong darimu
""Cantik, andai ku tak melirik
Kau masih kudekap""
Oh, teruslah berharap
You might also like 
Aku hampir saja
Jerat diriku
Kerap dirindu

 
  Denganmu rasanya semu
  Tanpamu perlahan kutemukan
Jalanku sendiri
Aku hampir saja  
Jatuh di lubang itu

 
Mati bisa hidup lagi
Lubang itu takkan mau
Hidup denganmu cukup satu waktu
Sudah pergi datang lagi
Mati bisa hidup lagi
Lubang itu takkan mau
Hidup denganmu

Aku hampir saja
Jerat diriku

 
Denganmu rasanya semu
Kan kutentukan jalanku sendiri
Oh, hampir saja
Jerat diriku
Denganmu rasanya semu
Tanpamu perlahan kutemukan
Jalanku sendiri
Aku hampir saja
Jatuh di lubang itu lagi",0
Lampu Merah,The Lantis," 

 
Lautan roda
Asap hitam meninju telak di muka
Membabi buta
Tak tahan ku teriak semua jadi gila

 
Dia belah udara
Mulai menantang Musa dengan tongkatnya
Menari-nari
Tak sadar caci maki datang bertubi dan

 
Berenang dan tenggelam
Ku terhempas dalam karang penuh bimbang
Dan lampu merah padam
Tak sadar ku telah ditabrak
Gu-ri-ta!

 
Gurita kota kini ditunggang oleh bala perompak
Harta karunnya hanya ada di tanggal muda minggu pertama
Berwajah congkak, mereka sikat habis aspal hitamnya
Kebun binatang keluar lantang keras dari dalam mulut
You might also like 
Berenang dan tenggelam
Ku terhempas dalam karang penuh bimbang
Dan lampu merah padam
Tak sadar ku telah ditabrak
Gu-ri-ta!",0
Karena Kamu,Geisha," 
Oohhh..... Ooh... Ooh... Ooh....

 
Karena kamu aku rela menunggu semua
Sungguh berat yang ku rasa
Karena kamu aku tetap bertahan
Meskipun kini engkau di peluknya

 
Masih mungkinkah semua abadi seperti dahulu
Karenamu selalu karenamu ku cemburu

 
Teruslah melangkah melupakan dirinya
Tinggalkan dia untukku sekarang
Saatnya tunjukkan semua tentang hatimu
Bahwa aku lah yang pantas untukmu
Hanya kamu...
Di setiap helahan nafasku
Hanya kamu...hanya kamu

 
Aku tahu engkau sangat dipuja mereka
Bagai bintang yang bersinar
Aku tahu ini semua jalanmu
Tapi ku akan tetap menunggumu
You might also like 
Jangan tinggalkan semua sendiri seperti dahulu
Karenamu selalu karenamu ku cemburu

 
Teruslah melangkah melupakan dirinya
Tinggalkan dia untukku sekarang
Saatnya tunjukkan semua tentang hatimu
Bahwa aku lah yang pantas untukmu
Hanya kamu...
Di setiap helahan nafasku
Hanya kamu...hanya kamu

 
Masih mungkinkah semua abadi seperti dahulu
Karenamu selalu karenamu ku cemburu, ooohh

 
Teruslah melangkah melupakan dirinya
Tinggalkan dia untukku sekarang
Saatnya tunjukkan semua tentang hatimu
Bahwa aku lah yang pantas untukmu

 
Teruslah melangkah melupakan dirinya
Tinggalkan dia untukku sekarang  
Saatnya tunjukkan semua tentang hatimu
Bahwa aku lah yang pantas untukmu
Hanya kamu...
Di setiap helahan nafasku
Hanya kamu.... Hanya kamu
Hanya kamu oooh
Oooh",0
HAHAHA,Juicy Luicy," 

 
Saat kau senang ku pasti kau lupakan
Saat tak tenang tebak siapa yang datang
Rindu kau bilang, saat kau kesepian
Lain kemarin, lain sekarang

 
Cerita malammu bersamanya
Kudengarkan walau tahan air mata

 
Hahaha, ku tertawa padahal sakit sebenarnya
Bisa bisanya kau anggap ku bahagia
Tak jelaskah ku kecewa

 
Lebih piawai dari peraih piala
Citra kujaga, sampai kapan ku bisa?

 
Katamu tak ada yang sepertinya
Apa kau lupa siapa yang selalu ada?

 
Hahaha ku tertawa padahal sakit sebenarnya
Bisa bisanya kau anggap ku bahagia
Tak jelaskah ku kecewa
You might also like 
Pergi, ku harus segera pergi
Tapi kau pikat aku lagi

 
Hahaha ku tertawa padahal sakit sebenarnya
Bisa bisanya kau anggap ku bahagia
Tak jelaskah ku kecewa
Sekuat-kuatnya, tak mungkin selamanya, toh kita manusia
Bisa 'tak bisa ujungnya ku harus rela
Biarpun aku kecewa

 
Hahahahahahaha",0
Aduh,MALIQ & D'Essentials," 

 
Detak jantungku berdegup tenang
Aliran darah mengalir kencang
Isi pikiran halu melayang
Harumu bikin mabuk kepayang

 
Dari sini akal sehat hilang
Ingin terbang takut ketinggian
Ingin dekat, aduh, menyenangkan
Perasaan hati ingin bilang

 
Surga itu kamu
Surga itu kamu
Surga itu kamu

 
Surga itu kamu
Duniawi juga kamu
Sumpah mati yang kumau cuma sama kamu
Surga itu kamu
Duniaku penuh kamu
Kita bikin mesra sampai tubuh panas hati dingin
Aduh
You might also like 
Bilang-bilang kalau nanti kangen
Diam-diam aku pasti kangen
Mau bilang takut tambah kangen
Makin hari makin ingin bilang

 
Surga itu kamu
Surga itu kamu
Surga itu kamu
Surga itu kamu
Surga itu kamu
Ooh, kamu

 
Surga itu kamu
Duniawi juga kamu
Sumpah mati yang kumau cuma sama kamu
Surga itu kamu
Duniaku penuh kamu
Kita bikin mesra sampai tubuh panas hati dingin
Aduh

 
Surga itu kamu
Surga itu kamu
Surga itu kamu
 
Surga itu kamu
Duniawi juga kamu
Sumpah mati yang kumau cuma sama kamu
Surga itu kamu
Duniaku penuh kamu
Kita bikin mesra sampai tubuh panas hati dingin
Aduh
Aduh
Aduh",1
